date,symbol,open,high,low,close,Volume ETH,tradecount
25/05/2021 19:00,ETH/USDT,2576.73,2593.96,2484.62,2512.12,71261.92048,103290
25/05/2021 18:00,ETH/USDT,2586.31,2622.69,2565.05,2576.74,48669.69219,71122
25/05/2021 17:00,ETH/USDT,2572.77,2598.34,2519.39,2586.15,60143.24002,86922
25/05/2021 16:00,ETH/USDT,2610.6,2612.82,2546.33,2572.76,65001.83354,94205
25/05/2021 15:00,ETH/USDT,2584.94,2640.02,2523.11,2610.47,188620.8556,192348
25/05/2021 14:00,ETH/USDT,2535.02,2650,2526.47,2584.9,122948.602,170487
25/05/2021 13:00,ETH/USDT,2456.72,2567.47,2452.76,2535,130604.6872,158383
25/05/2021 12:00,ETH/USDT,2393.15,2466.92,2382.21,2456.89,112096.8548,132655
25/05/2021 11:00,ETH/USDT,2438.91,2482.75,2388.29,2392.72,107106.0814,139473
25/05/2021 10:00,ETH/USDT,2560.32,2561.49,2378.54,2438.71,178404.9364,240209
25/05/2021 09:00,ETH/USDT,2582.65,2592.48,2528,2559.99,69802.70857,106159
25/05/2021 08:00,ETH/USDT,2660.39,2674.31,2564.59,2582.45,68740.55829,106208
25/05/2021 07:00,ETH/USDT,2658.18,2683.65,2623.9,2660.48,54919.47733,109130
25/05/2021 06:00,ETH/USDT,2592.13,2677.31,2562.96,2658.18,75435.25955,128606
25/05/2021 05:00,ETH/USDT,2587.7,2598.64,2542.27,2592.11,52185.11276,79640
25/05/2021 04:00,ETH/USDT,2582.41,2620.55,2520.48,2587.7,79909.41977,117307
25/05/2021 03:00,ETH/USDT,2571.6,2591.97,2536.8,2582.48,81360.67972,125012
25/05/2021 02:00,ETH/USDT,2659.61,2676.68,2559.66,2571.54,103996.8536,154573
25/05/2021 01:00,ETH/USDT,2711.37,2737.12,2636.06,2659.61,86494.464,124072
25/05/2021 00:00,ETH/USDT,2647.92,2750,2597.99,2711.37,119075.7453,177222
24/05/2021 23:00,ETH/USDT,2588.92,2656.73,2573.13,2648.43,50859.78662,108735
24/05/2021 22:00,ETH/USDT,2593.01,2647.37,2529.07,2588.66,80420.77239,151196
24/05/2021 21:00,ETH/USDT,2620.28,2670,2584.52,2593.14,65367.71371,117531
24/05/2021 20:00,ETH/USDT,2651.42,2675,2553.86,2620.16,98041.67061,156956
24/05/2021 19:00,ETH/USDT,2553,2663.58,2521.16,2650.86,97433.0142,163181
24/05/2021 18:00,ETH/USDT,2543.86,2600,2520.51,2552.95,82842.37125,144133
24/05/2021 17:00,ETH/USDT,2467.99,2546.5,2435.21,2543.97,77686.21817,115404
24/05/2021 16:00,ETH/USDT,2509.61,2559.58,2416.1,2467.99,121365.2073,183308
24/05/2021 15:00,ETH/USDT,2425.69,2529.87,2403.33,2509.07,118224.4937,182643
24/05/2021 14:00,ETH/USDT,2373.73,2474,2373.5,2425.69,116683.8857,141912
24/05/2021 13:00,ETH/USDT,2423.39,2443.13,2332.64,2373.48,132403.2202,182705
24/05/2021 12:00,ETH/USDT,2367.66,2468,2341.16,2423.19,133509.3159,216614
24/05/2021 11:00,ETH/USDT,2262.09,2377.13,2256,2367.74,131964.3181,179323
24/05/2021 10:00,ETH/USDT,2230.94,2278.99,2221.19,2262.33,79894.37212,104893
24/05/2021 09:00,ETH/USDT,2291.2,2291.21,2229.8,2231.12,73191.53127,92470
24/05/2021 08:00,ETH/USDT,2291.44,2318.62,2239.07,2291.2,118851.9519,147747
24/05/2021 07:00,ETH/USDT,2187.4,2297,2187.4,2291.1,144162.1136,204658
24/05/2021 06:00,ETH/USDT,2133.15,2190,2105.66,2187.82,57368.73738,87947
24/05/2021 05:00,ETH/USDT,2104.11,2156,2096.59,2133.16,47045.27416,90296
24/05/2021 04:00,ETH/USDT,2141.29,2156.66,2081.88,2104.12,54585.88306,103306
24/05/2021 03:00,ETH/USDT,2165.59,2200,2133.37,2141.29,71533.33725,95312
24/05/2021 02:00,ETH/USDT,2122.39,2167.7,2090.75,2165.13,68416.83525,94001
24/05/2021 01:00,ETH/USDT,2133.25,2149,2079.94,2123,69585.74321,92969
24/05/2021 00:00,ETH/USDT,2096.63,2197.44,2093.71,2133.24,95195.15537,142056
23/05/2021 23:00,ETH/USDT,2062.56,2121.52,2062.56,2096.39,58488.12487,89688
