date,open,high,low,close,Volume ETH
09/05/2020 00:00,211.32,214.6,208.4,210.07,587871.9807
08/05/2020 00:00,212.01,216.61,206.9,211.31,917908.1944
07/05/2020 00:00,198.92,215.1,196.43,212,1305778.738
06/05/2020 00:00,205.3,210.77,197.71,198.97,862700.6785
05/05/2020 00:00,206.47,211.68,201,205.29,640644.6627
04/05/2020 00:00,209.86,210.65,194.88,206.48,1114249.327
03/05/2020 00:00,213.89,219.3,203.92,209.86,748383.9131
02/05/2020 00:00,212.01,215.37,210.36,213.9,443494.6725
01/05/2020 00:00,206.07,217.14,205.91,212.02,794913.9583
30/04/2020 00:00,215.4,227.3,202,206.08,1749691.002
29/04/2020 00:00,196.24,218.77,196.22,215.36,1620422.724
28/04/2020 00:00,196.33,198.5,192.36,196.24,636829.894
27/04/2020 00:00,197.39,199.05,189.29,196.34,896627.3727
26/04/2020 00:00,194.21,200,192.3,197.38,758525.8153
25/04/2020 00:00,187.6,198.36,185.76,194.21,866478.0493
24/04/2020 00:00,185.57,189.8,184.72,187.59,780904.2126
23/04/2020 00:00,182.7,193.63,178.16,185.51,1457867.087
22/04/2020 00:00,170.73,184,169.78,182.7,988698.3908
21/04/2020 00:00,170.21,174.7,168,170.74,906381.654
20/04/2020 00:00,180.02,186.46,166.7,170.2,1547821.527
19/04/2020 00:00,187.4,188.35,175.75,180.03,995759.5775
18/04/2020 00:00,170.61,189.54,170.48,187.4,1127296.37
17/04/2020 00:00,172.31,174.96,168.31,170.69,723537.7559
16/04/2020 00:00,152.74,174.79,148.33,172.29,1647207.6
15/04/2020 00:00,158.46,161.29,152,152.73,729119.6651
14/04/2020 00:00,156.28,161.85,155.23,158.45,698030.6509
13/04/2020 00:00,158.56,158.97,150,156.29,1042091.036
12/04/2020 00:00,158.33,164.78,155,158.59,809100.2459
11/04/2020 00:00,157.81,161.37,153.91,158.33,621599.6129
10/04/2020 00:00,169.56,170.1,152.11,157.81,1314841.362
09/04/2020 00:00,173.15,173.38,165.19,169.52,719837.2442
08/04/2020 00:00,164.62,174.48,163.59,173.11,1023575.921
07/04/2020 00:00,171.32,176.22,162.22,164.63,1717962.825
06/04/2020 00:00,142.69,172,142.6,171.32,1636338.731
05/04/2020 00:00,144.1,145.58,140.68,142.68,414987.4525
04/04/2020 00:00,141.3,146.28,138.88,144.1,573508.1409
03/04/2020 00:00,141.27,146.72,137.26,141.31,797546.1145
02/04/2020 00:00,135.65,149.76,135.01,141.28,1138977.661
01/04/2020 00:00,132.72,136.99,128.62,135.69,680922.2475
31/03/2020 00:00,132.09,135,130.38,132.72,547669.2779
30/03/2020 00:00,124.47,135.42,124.06,132.06,764831.9275
29/03/2020 00:00,130.94,131.84,123.81,124.5,543997
28/03/2020 00:00,131.33,132.97,124.88,130.98,896032.1059
27/03/2020 00:00,138.4,141.27,129.68,131.33,706948.5456
26/03/2020 00:00,136.11,139.74,133.26,138.4,751060.631
25/03/2020 00:00,138.42,142.33,132.54,136.1,1034248.744
24/03/2020 00:00,135.89,143.36,132.2,138.42,1244377.163
23/03/2020 00:00,122.31,137.5,119.5,135.92,1436796.124
22/03/2020 00:00,132.63,137.13,121.1,122.32,1055699.865
21/03/2020 00:00,133.49,137.49,125.69,132.66,1231842.111
20/03/2020 00:00,136.3,152.55,116.74,133.48,2504057.638
19/03/2020 00:00,118.11,143.13,115.46,136.3,1801071.188
18/03/2020 00:00,115.67,118.5,109.86,118.11,1201850.313
17/03/2020 00:00,111.02,120.8,109.38,115.67,1295108.485
16/03/2020 00:00,123.82,124.33,101.1,111.02,2442064.144
15/03/2020 00:00,122.54,133.5,120.16,123.78,1312950.901
